index;hash_cnst;hash_symb;hash_strlen;hash_ascii;hash_rol;hash_ror;hash_mrot
713;0;0;0;4;7;0;11
714;0;0;0;9;9;0;10
715;0;0;0;6;5;0;14
716;0;0;0;9;10;0;12
717;0;0;0;7;12;0;5
718;0;0;0;9;4;0;13
719;0;0;0;12;10;0;11
720;0;0;0;9;8;0;7
721;0;0;0;9;8;0;14
722;0;0;0;12;11;0;14
723;0;0;0;8;8;0;8
724;0;0;0;10;9;0;12
725;0;0;0;14;7;0;10
726;0;0;0;17;8;0;7
727;0;0;0;13;9;0;6
728;0;0;0;8;6;0;8
729;0;0;0;9;7;0;9
730;0;0;0;21;12;0;6
731;0;0;0;19;3;0;8
732;0;0;0;24;8;0;7
733;0;0;0;21;6;0;11
734;0;0;0;22;5;0;12
735;0;0;0;29;10;0;15
736;0;0;0;26;8;0;6
737;0;0;0;28;6;0;9
738;0;0;0;22;9;0;11
739;0;0;0;24;7;0;10
740;0;0;0;27;11;0;7
741;0;0;0;31;12;0;14
742;0;0;0;27;8;0;12
743;0;0;0;34;5;0;9
744;0;0;0;29;14;0;7
745;0;0;0;36;7;0;10
746;0;0;0;30;8;0;10
747;0;0;0;36;11;0;13
748;0;0;0;32;10;0;14
749;0;0;0;30;8;0;9
750;0;0;0;32;11;0;5
751;0;0;0;44;10;0;6
752;0;0;0;25;3;0;8
753;0;0;0;36;10;0;10
754;0;0;0;38;6;0;13
755;0;0;0;45;4;0;8
756;0;0;0;26;13;0;7
757;0;0;0;31;12;0;11
758;0;0;0;37;9;0;7
759;0;0;0;35;3;0;9
760;0;0;0;20;12;0;14
761;0;0;0;26;9;0;12
762;0;0;0;41;7;0;5
763;0;0;0;39;9;0;12
764;0;0;0;34;14;0;6
765;0;0;0;31;7;0;5
766;0;0;0;21;10;0;10
767;0;0;0;23;6;0;12
768;0;0;0;28;4;0;7
769;0;0;0;25;5;0;5
770;0;0;0;25;5;0;9
771;0;0;0;21;7;0;9
772;0;0;0;20;8;0;10
773;0;0;0;15;8;0;10
774;0;0;0;16;8;0;18
775;0;0;0;19;6;0;8
776;0;0;0;9;9;0;5
777;0;0;0;19;9;0;11
778;0;0;0;17;9;0;15
779;0;0;0;7;7;0;12
780;0;0;0;8;9;0;12
781;0;0;0;9;10;0;6
782;0;0;0;13;11;0;9
783;0;0;0;9;7;0;8
784;0;0;0;4;11;0;9
785;0;0;0;7;4;0;10
786;0;0;0;7;6;0;15
787;0;0;0;3;8;0;7
788;0;0;0;2;11;0;11
789;0;0;0;7;10;0;9
790;0;0;0;1;10;0;11
791;0;0;0;1;7;0;12
792;0;0;0;1;7;0;9
793;0;0;0;6;6;0;12
794;0;0;0;0;10;0;6
795;0;0;0;0;12;0;9
796;0;0;0;1;10;0;11
797;0;0;0;5;6;0;11
798;0;0;0;0;8;0;13
799;0;0;0;0;7;0;8
800;0;0;0;1;2;0;9
801;0;0;0;1;4;0;12
802;0;0;0;0;6;0;11
803;0;0;0;2;6;0;6
804;0;0;0;1;6;0;9
805;0;0;0;2;7;0;8
806;0;0;0;0;7;0;9
807;0;0;0;2;11;0;4
808;0;0;0;1;3;0;8
809;0;0;0;2;7;0;14
810;0;0;0;1;6;0;6
811;0;0;0;1;10;0;9
812;0;0;0;0;9;0;11
813;0;0;0;1;9;0;7
814;0;0;0;3;10;0;10
815;0;0;0;5;5;0;11
816;0;0;0;2;3;0;10
817;0;0;0;2;1;0;9
818;0;0;0;5;9;0;5
819;0;0;0;4;7;0;11
820;0;0;0;3;9;0;18
821;0;0;0;1;11;0;10
822;0;0;0;6;8;0;11
823;0;0;0;3;5;0;9
824;0;0;0;2;7;0;14
825;0;0;0;6;7;0;11
826;0;0;0;6;9;0;5
827;0;0;0;10;12;0;9
828;0;0;0;13;7;0;11
829;0;0;0;6;8;0;12
830;0;0;0;11;7;0;15
831;0;0;0;12;7;0;10
832;0;0;0;14;11;0;7
833;0;0;0;13;9;0;13
834;0;0;0;20;9;0;8
835;0;0;0;16;18;0;11
836;0;0;0;15;15;0;11
837;0;0;0;11;10;0;8
838;0;0;0;19;4;0;15
839;0;0;0;17;5;0;14
840;0;0;0;18;10;0;11
841;0;0;0;21;10;0;12
842;0;0;0;23;8;0;13
843;0;0;0;19;8;0;5
844;0;0;0;17;7;0;12
845;0;0;0;20;11;0;11
846;0;0;0;20;10;0;11
847;0;0;0;32;7;0;9
848;0;0;0;27;10;0;11
849;0;0;0;24;5;0;11
850;0;0;0;22;7;0;11
851;0;0;0;22;6;0;13
852;0;0;0;23;11;0;6
853;0;0;0;33;10;0;10
854;0;0;0;25;7;0;14
855;0;0;0;33;11;0;13
856;0;0;0;24;8;0;12
857;0;0;0;17;9;0;11
858;0;0;0;22;10;0;9
